word	file	lines
AMH	About.Rmd	22
AMH	About.md	22
AMH	About.md	22
Audiographer	About.md	34
Audiography	About.md	35
Baek	About.Rmd	13,35
Baek	About.md	13,92
Baek	About.md	13,102
chapt	1-Introduction.md	3
chapt	10-Understanding-Unfamiliar-Code	-Hands-On-Exercise.md
chapt	11-AI-for-Bioinformatics.md	3
chapt	12-AI-for-Bioinformatics	-Hands-On-Exercise.md
chapt	13-Languages-and-Cloud-Computing.md	3
chapt	2-Ethics-of-Using-AI.md	3
chapt	2-Writing-and-Debugging-Code.md	3
chapt	2-Writing-Code.md	3
chapt	3-Refactoring-Code.md	3
chapt	3-Writing-Code.md	3
chapt	4-Annotating-Your-Code.md	3
chapt	4-Refactoring-Code.md	3
chapt	4-Understanding-Unfamiliar-Code.md	3
chapt	4-Writing-Code	-Hands-On-Exercise.md
chapt	5-Annotating-Your-Code.md	3
chapt	5-Refactoring-Code.md	3
chapt	5-Understanding-Unfamiliar-Code.md	3
chapt	6-Refactoring-Code	-Hands-On-Exercise.md
chapt	6-Understanding-Unfamiliar-Code.md	3
chapt	7-AI-for-Bioinformatics.md	3
chapt	7-Annotating-Your-Code.md	3
chapt	8-Annotation	-Hands-On-Exercise.md
chapt	8-Languages-and-Cloud-Computing.md	3
chapt	9-Understanding-Unfamiliar-Code.md	3
chapt	About-the-Authors.md	3
chapt	About-this-Course.md	3
chapt	Appendix.md	3
chapt	References.md	3
cofunding	About.Rmd	22
cofunding	About.md	22
cofunding	About.md	22
creativecommons	LICENSE.md	378,395
DISCOVERABLE	LICENSE.md	286
EMH	About.Rmd	22
EMH	About.md	22
EMH	About.md	22
enforceability	LICENSE.md	359
faq	code_of_conduct.md	123
FHDaSL	index.Rmd	2
FirstName	About.Rmd	35
FirstName	About.md	92
FirstName	About.md	12,111
FirstName	About.md	102
Funder	About.md	37
Funders	About.Rmd	22
Funders	About.md	22
Funders	About.md	22
Generis	LICENSE.md	85,123,262,264,271
HB	About.Rmd	22
HB	About.md	22
HB	About.md	22
Humphries	About.Rmd	11,20,35
Humphries	About.md	11,20,92
Humphries	About.md	11,20,102
ies	LICENSE.md	112
iframe	1-Introduction.md	3
iframe	10-Understanding-Unfamiliar-Code	-Hands-On-Exercise.md
iframe	11-AI-for-Bioinformatics.md	3
iframe	12-AI-for-Bioinformatics	-Hands-On-Exercise.md
iframe	13-Languages-and-Cloud-Computing.md	3
iframe	2-Ethics-of-Using-AI.md	3
iframe	2-Writing-and-Debugging-Code.md	3
iframe	2-Writing-Code.md	3
iframe	3-Refactoring-Code.md	3
iframe	3-Writing-Code.md	3
iframe	4-Annotating-Your-Code.md	3
iframe	4-Refactoring-Code.md	3
iframe	4-Understanding-Unfamiliar-Code.md	3
iframe	4-Writing-Code	-Hands-On-Exercise.md
iframe	5-Annotating-Your-Code.md	3
iframe	5-Refactoring-Code.md	3
iframe	5-Understanding-Unfamiliar-Code.md	3
iframe	6-Refactoring-Code	-Hands-On-Exercise.md
iframe	6-Understanding-Unfamiliar-Code.md	3
iframe	7-AI-for-Bioinformatics.md	3
iframe	7-Annotating-Your-Code.md	3
iframe	8-Annotation	-Hands-On-Exercise.md
iframe	8-Languages-and-Cloud-Computing.md	3
iframe	9-Understanding-Unfamiliar-Code.md	3
iframe	About-the-Authors.md	3
iframe	About-this-Course.md	3
iframe	Appendix.md	3
iframe	References.md	3
immunities	LICENSE.md	370
LastName	About.Rmd	35
LastName	About.md	92
LastName	About.md	12,111
LastName	About.md	102
Licensor	LICENSE.md	59,71,103,107,112,333,344,366,370,378
LICENSOR	LICENSE.md	286,297
MERCHANTABILITY	LICENSE.md	286
Muschelli	About.Rmd	18,35
Muschelli	About.md	18,92
Muschelli	About.md	28,111
Muschelli	About.md	18,102
ODSS	About.Rmd	22
ODSS	About.md	22
ODSS	About.md	22
Ormbrek	About.Rmd	23,35
Ormbrek	About.md	23,92
Ormbrek	About.md	23,102
Savonen	About.Rmd	12,15,16,17,18,20,35
Savonen	About.md	12,15,16,17,18,20,92
Savonen	About.md	25,26,27,28,111
Savonen	About.md	12,15,16,17,18,20,102
sexualized	code_of_conduct.md	30
synched	LICENSE.md	71
Videographer	About.md	32
Videography	About.md	33
WIPO	LICENSE.md	93
